n	tiempo
1000	0.017663
2000	0.067542
3000	0.116625
4000	0.174241
5000	0.355492
6000	0.483124
7000	0.482133
8000	0.564227
9000	0.631945
10000	0.826766
11000	0.89232
12000	1.08504
13000	1.23466
14000	1.46512
15000	1.65028
16000	1.89627
17000	2.12767
18000	2.39367
19000	2.7489
20000	2.94151
21000	3.36033
22000	3.58346
23000	3.91774
24000	4.20311
25000	4.60348
